أهلا	Hello
اختر النتيجة المناسبة	Choose the appropriate result
Choose the appropriate result	اختر النتيجة المناسبة
تم اختيار النتيجة	The result has been selected
The result has been selected	تم اختيار النتيجة
لا توجد نتيجة مناسبة	There is no suitable result
There is no suitable result	لا توجد نتيجة مناسبة
جرب خياراً مختلفاً	Try a different option
Try a different option	جرب خياراً مختلفاً
الخيار الأول	The first option
The first option	الخيار الأول
الخيار الثاني	The second option
The second option	الخيار الثاني
الخيار الثالث	The third option
The third option	الخيار الثالث
الخيار الأخير	The last option
The last option	الخيار الأخير
الخيار الحالي	Current option
Current option	الخيار الحالي
الخيار السابق	Previous option
Previous option	الخيار السابق
الخيار التالي	Next option
Next option	الخيار التالي
اختر الخيار المناسب	Choose the appropriate option
Choose the appropriate option	اختر الخيار المناسب
الخيار غير متاح	The option is not available
The option is not available	الخيار غير متاح
الخيار متاح	option is available
option is available	الخيار متاح
الخيار مقفل	The option is locked
The option is locked	الخيار مقفل
افتح الخيار	Open the option
Open the option	افتح الخيار
الخيار مفتوح	The option is open
The option is open	الخيار مفتوح
الخيار مخفي	The option is hidden
The option is hidden	الخيار مخفي
أظهر الخيار	Show option
Show option	أظهر الخيار
الخيار غير مدعوم	The option is not supported
The option is not supported	الخيار غير مدعوم
لا يمكن اختيار هذا الخيار	This option cannot be selected
This option cannot be selected	لا يمكن اختيار هذا الخيار
اختر خياراً آخر	Choose another option
Choose another option	اختر خياراً آخر
تم تغيير الخيار	The option has been changed
The option has been changed	تم تغيير الخيار
تم حفظ الخيار	The option has been saved
The option has been saved	تم حفظ الخيار
تم إلغاء الخيار	The option has been cancelled
The option has been cancelled	تم إلغاء الخيار
لا يوجد خيار محدد	No option selected
No option selected	لا يوجد خيار محدد
حدد خياراً واحداً	Select one option
Select one option	حدد خياراً واحداً
حدد عدة خيارات	Select several options
Select several options	حدد عدة خيارات
حدد جميع الخيارات	Select all options
Select all options	حدد جميع الخيارات
ألغ جميع الخيارات	Deselect all options
Deselect all options	ألغ جميع الخيارات
تم تحديد الخيارات	Options have been selected
Options have been selected	تم تحديد الخيارات
تم إلغاء الخيارات	Options have been cancelled
Options have been cancelled	تم إلغاء الخيارات
الخيارات جاهزة	The options are ready
The options are ready	الخيارات جاهزة
الخيارات غير جاهزة	Options are not ready
Options are not ready	الخيارات غير جاهزة
لا توجد خيارات متاحة	There are no options available
There are no options available	لا توجد خيارات متاحة
هناك خيارات جديدة	There are new options
There are new options	هناك خيارات جديدة
عرض الخيارات الجديدة	Show new options
Show new options	عرض الخيارات الجديدة
اختر من القائمة	Select from the list
Select from the list	اختر من القائمة
القائمة مفتوحة	The list is open
The list is open	القائمة مفتوحة
القائمة مغلقة	The list is closed
The list is closed	القائمة مغلقة
افتح القائمة	Open the menu
Open the menu	افتح القائمة
أغلق القائمة	Close the menu
Close the menu	أغلق القائمة
القائمة فارغة	The list is empty
